,,,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Bihar,Bihar,Bihar,Bihar,Bihar,Bihar,Bihar,UP,UP,UP,UP,UP,UP,UP,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Karnataka,Karnataka,Karnataka,Karnataka,Karnataka,Karnataka,Karnataka,Kerala,Kerala,Kerala,Kerala,Kerala,Kerala,Kerala,Punjab,Punjab,Punjab,Punjab,Punjab,Punjab,Punjab,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Odisha,Gujarat,Gujarat,Gujarat,Gujarat,Gujarat,Gujarat,Gujarat,West Bengal,West Bengal,West Bengal,West Bengal,West Bengal,West Bengal,West Bengal,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Rajasthan,Haryana,Haryana,Haryana,Haryana,Haryana,Haryana,Haryana,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Mizoram,Mizoram,Mizoram,Mizoram,Mizoram,Mizoram,Mizoram,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Maharashtra,Jharkhand,Jharkhand,Jharkhand,Jharkhand,Jharkhand,Jharkhand,Jharkhand
Sector,Indicators,Unit,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE,2012-13 Actuals,2013-14 BE,2013-14 RE,2013-14 Actuals,2014-15 BE,2014-15 RE,2015-16 BE
Revenue,Total Expenditure from State Budget,,79920.7,91946.9,92233.7,85762.2,117041,118517.6,131199.1,69206.6,92087.9,103485.1,80405.2,116886.2,132186.9,120685.3,174470.2,221201.2,206548,200649.6,274704.6,263302.8,302687.3,33779.2,44169,44382.4,38757.6,54710,55034.4,65012.9,92874.1,115770.4,112401.6,106831.8,131247.7,128077.9,136746.5,59228.2,70076.3,68263.9,66244,79414,79780.3,95324.8,45245,56051.8,53064.4,60689.3,73592.8,74931,79313.9,47255.6,60303.1,62792.2,56130.9,80139.6,77557.1,84487.8,98303.8,112687.2,107700.2,104743.1,118794.6,125513.7,137542.1,95357.5,110805.6,112261.2,108513.4,130013.5,129647.5,138374,81263.9,94872,100348.9,94101.1,112955.1,126111.6,137713.4,44355.6,,53548.3,46597.3,59451.2,61449.8,69140.3,20981.1,22847.8,22324.6,22291.2,26345.4,29688.6,29539,129440.9,161348.7,161348.7,136629.3,111823.9,112067.5,113049,5583.6,5397.3,8055.8,6503.7,6951.3,8830.2,7756.8,31777,38068,36289,32781,43543,43091,46473,157549.9,180932,185849.6,176568,212321.2,219074.8,230062,30502.2,39548.9,38497.2,30429.3,50387.7,50839.6,55493
Revenue,Gross State Domestic Product (GSDP)*,,361874,409877,392097,450900,449891,462691,560570,308639.6,314155,314155,343054,383709,383709,455451,780399,862746,862746,862746,976297,976297,1101068.9,165641.2,185682.5,185682.5,185682.5,210191.8,210191.8,241396.3,522650,601633,601633,601633,685207,685207,736237,349338,420479,402972,430211,465073,496886,570523,285165,308700,317054,317556,349826,349826,398801,251220,272980,272980,272980,310810,310810,347634,658540,765638,765638,765638,879045,879045,1000080,636696.6,758519.6,758519.6,758519.6,875027.4,875027.4,1020808,470178,517615,517615,517615,574549,574549,653133,341351,388917,388917,388917,451766,451766,522829,76259,85841,85841,85841,99197.6,99197.6,113704.6,410068,464184,464184,464184,520030,520030,587502.6,8053.1,9128.4,9128.4,9128.4,10431.2,10431.2,11782.8,75574,87319,87319,87319,101077.9,101077.9,116578.8,1340124,15373665,1537366,1510132,1721850,1686695,1889098,162557.1,172772.6,172772.6,172772.6,197514.3,197514.3,226404.9
Revenue,Total Expenditure from State Budget as % of GSDP,,22.1,22.4,23.5,19,26,25.6,23.4,22.4,29.3,32.9,23.4,30.5,34.4,26.5,22.4,25.6,23.9,23.3,28.1,27,27.5,20.4,23.8,23.9,20.9,26,26.2,26.9,17.8,19.2,18.7,17.8,19.2,18.7,18.6,17,16.7,16.9,15.4,17.1,16.1,16.7,15.9,18.2,16.7,19.1,21,21.4,19.9,18.8,22.1,23,20.6,25.8,25,24.3,14.9,14.7,14.1,13.7,13.5,14.3,13.8,15,14.6,14.8,14.3,14.9,14.8,13.6,17.3,18.3,19.4,18.2,19.7,21.9,21.1,13,0,13.8,12,13.2,13.6,13.2,27.5,26.6,26,26,26.6,29.9,26,31.6,34.8,34.8,29.4,21.5,21.6,19.2,69.3,59.1,88.3,71.2,66.6,84.7,65.8,42,43.6,41.6,37.5,43.1,42.6,39.9,11.8,1.2,12.1,11.7,12.3,13,12.2,18.8,22.9,22.3,17.6,25.5,25.7,24.5
Revenue,Total Receipts,,78962.7,92019.1,92878.1,86198.1,116582.5,118215.1,130815.3,69145.3,91899.2,90916.6,78840.8,116682.8,110488.2,120914.4,162142.7,215919.8,199708.7,183703.8,270572.7,258701.7,296723.3,31917.6,43976.6,44234.1,40478,54660.5,54977.4,64935.4,78366.9,98321,94443.5,89739.8,111206.4,109043.2,116526.5,59822.8,70518.1,67832.2,66226.8,79558.6,79769.9,95342.1,45042.3,56011.8,54212.5,59356.8,71751.9,72595.8,78085.4,45958.9,58343.6,60232.6,51494.3,78083,75500.5,83181.2,94772.6,111983.7,105211.3,99459.5,116727.1,123370.4,134417,96554.3,110799.6,111848.9,108085.3,130011.5,129667.2,138370,81185.7,95208.5,99877.3,94150.2,113355,126214.4,137887.7,43255.9,,51649.8,47919.5,59173.1,56108.1,68985.9,20981.1,22847.8,22324.6,20596.2,20881.4,29510,27138.2,128474.3,161731.8,161731.8,137097.6,110367.2,110355.1,112852.5,4986.5,5452.4,6316.9,5921.2,6396.6,6740.3,7605.3,31777,38068,36289,32781,43543,39442,42137,157745.5,181100.3,185938.1,188749.3,224113.5,230285.1,243133,30502.2,39548.9,38497.2,30429.3,50387.7,50839.6,55493
Revenue,Receipts as % of GSDP,,21.8,22.5,23.7,19.1,25.9,25.5,23.3,22.4,29.3,28.9,23,30.4,28.8,26.5,20.8,25,23.1,21.3,27.7,26.5,26.9,19.3,23.7,23.8,21.8,26,26.2,26.9,15,16.3,15.7,14.9,16.2,15.9,15.8,17.1,16.8,16.8,15.4,17.1,16.1,16.7,15.8,18.1,17.1,18.7,20.5,20.8,19.6,18.3,21.4,22.1,18.9,25.1,24.3,23.9,14.4,14.6,13.7,13,13.3,14,13.4,15.2,14.6,14.7,14.2,14.9,14.8,13.6,17.3,18.4,19.3,18.2,19.7,22,21.1,12.7,0,13.3,12.3,13.1,12.4,13.2,27.5,26.6,26,24,21.1,29.7,23.9,31.3,34.8,34.8,29.5,21.2,21.2,19.2,61.9,59.7,69.2,64.9,61.3,64.6,64.5,42,43.6,41.6,37.5,43.1,39,36.1,11.8,1.2,12.1,12.5,13,13.7,12.9,18.8,22.9,22.3,17.6,25.5,25.7,24.5
Revenue,Borrowing/Fiscal Deficit,,9420.3,12218.5,11628.9,9881.3,13425.5,13869,16745.3,6545.3,8769.5,21619.1,8351.9,11367.8,32819.7,13584.5,19238..39,23913.3,25382.3,23679.5,28411,28380.8,31559.8,2655.1,5145.3,5102.6,5057.3,5760.9,5768,6835.7,14507.2,17449.4,17958.1,17092,20041.4,19034.7,20220,-15002.5,-11872.6,-13140.4,-16944.1,-14398.5,-15999,-17699.3,9345.8,9257.6,8189.5,8790.1,10372.8,10397.2,11895.2,1879.6,6804.3,6182.2,2290.3,10695.7,11610.9,12000.4,16492,16275,20496,18423,21715,18347,22049,19146.6,13414.3,21892.8,25347.9,15289.6,23881.9,15982.1,8534.5,13019.9,18301.3,15189.3,16354.8,23163.7,20609.8,10361.8,,11515.6,8313.5,11393.3,15628.9,16423.6,1254.3,1798,1798,4041.4,7587,2535.4,4785.5,17508,24486.9,24486.9,18050.1,12064.3,20320.1,17584.2,580.5,73.6,1612.4,749.1,586.9,2001.3,109.6,2526,1540,2459,1855,1542,5146,5704,13739.8,24118.2,26562.6,26018.1,30965.3,37246,30733,3506.4,4091,4080.2,2272.4,4913.7,4910.7,5157.5
Revenue,Borrowing as a % of GSDP,,2.6,3,3,2.2,3,3,3,2.1,2.8,6.9,2.4,3,8.6,3,#VALUE!,2.8,2.9,2.7,2.9,2.9,2.9,1.6,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.9,3,2.8,2.9,2.8,2.7,-4.3,-2.8,-3.3,-3.9,-3.1,-3.2,-3.1,3.3,3,2.6,2.8,3,3,3,0.7,2.5,2.3,0.8,3.4,3.7,3.5,2.5,2.1,2.7,2.4,2.5,2.1,2.2,3,1.8,2.9,3.3,1.7,2.7,1.6,1.8,2.5,3.5,2.9,2.8,4,3.2,3,0,3,2.1,2.5,3.5,3.1,1.6,2.1,2.1,4.7,7.6,2.6,4.2,4.3,5.3,5.3,3.9,2.3,3.9,3,7.2,0.8,17.7,8.2,5.6,19.2,0.9,3.3,1.8,2.8,2.1,1.5,5.1,4.9,1,0.2,1.7,1.7,1.8,2.2,1.6,2.2,2.4,2.4,1.3,2.5,2.5,2.3
Revenue,Revenue Expenditure,,62968.5,74388.6,73623.3,69869.8,99013.8,98249.6,108834.9,54466.2,73257.6,79293.7,62477.2,91765.4,100254.9,91208.1,140723.6,167892.2,166617.6,158146.9,197424.9,191590.2,215756.2,26971.8,35015.9,36715.6,32859.6,46190.8,46665.4,53729.8,76293.3,97390.5,94205.8,89189.6,110757.3,108747.6,115449.7,53488.7,60327.8,61175.2,60485.5,71974,73852.3,85259.1,39457.9,44412.5,45109.6,41640.7,49146.3,48982.7,52623.2,38237.6,49394.4,51657.9,45617.8,62881.4,60272.2,65839,69658.5,81150.4,75581.5,75258.5,87742.4,92597.9,101986.7,82110.9,91891.8,93203.7,91797.3,105978.2,106828,113100.2,63461.8,76194.7,79786.1,75509.6,90752.2,100887.9,110804.8,38071.7,,47248.9,41887.1,52702.7,54919.1,61869.6,16174.3,17647,17604.4,17352.5,19783.6,19412.3,23487.7,102702.4,126749.4,126749.4,110374.5,98141.8,98308.6,97424.8,4508.9,4657.6,6145,4917,5764.6,6280.5,6091.3,25117,28690,27617,27058,32948,31503,35227,138736,155802.6,161427,154902.4,184423.3,194677.3,201987.9,23399.9,30435.1,29649.7,23431.4,39487.9,40073.3,43343.2
Revenue,Revenue Receipts,,70427.3,79603.5,80497.2,75749.2,103493.2,104621.1,114422.9,59566.7,80066.5,78601.6,68918.7,101939.5,95744.9,103189.1,145904,177748.2,172234.3,168213.8,226418.8,223997.5,249880.2,29578.1,37444.5,37497.6,32050.3,48654.3,49041.5,57956.5,78176.2,97986.4,94270.4,89542.5,111038.6,108907.7,116360.3,44137.3,58057.9,54966.9,49176.9,64842.4,63588.3,77427.2,32051.2,42665.9,39850.6,35103.5,44893.7,42742.4,46229.2,43936.9,51299,53810.2,48946.9,67147,63649.3,70940.5,75228.5,85752,85000,79975.7,95439.7,98985,109295.2,68295.8,88403.3,81134.5,72881.8,105978.2,96466.1,113100.2,66913,77220.6,77280.9,74470.4,91484,96668.3,111361.7,33633.5,,41635.9,38012.1,47690.1,45419.1,52312.1,15598.1,17700.9,16663,15711.1,16522.1,18907,23534.5,103830.3,127772.2,127772.2,110718.8,92078.2,84066.1,90125,4536.7,5039.4,5529,4764.8,5879.5,5317.2,7175.4,26217,33970,31227,27128,39221,34541,37814,142947.2,155987,158409.8,149821.8,180320.2,180793.9,198230.5,24769.6,33598.9,32551.7,26136.8,43443.8,43903.7,48027.3
Revenue,Revenue Deficit (Revenue Expenditure - Revenue Receipts),,-7458.8,-5214.8,-6873.8,-5879.5,-4479.4,-6371.5,-5588,-5100.5,-6808.9,692.1,-6441.4,-10174,4510,-11981,-5180.3,-9856,-5616.8,-10066.9,-28993.9,-32407.2,-34124.1,-2606.3,-2428.7,-782,809.3,-2463.5,-2376,-4226.6,-1883,-595.9,-64.5,-353,-281.3,-160.1,-910.6,9351.4,2270,6208.4,11308.6,7131.7,10264,7831.9,7406.8,1746.6,5259.1,6537.1,4252.6,6240.4,6394,-5699.4,-1904.6,-2152.3,-3329.1,-4265.5,-3377.1,-5101.5,-5570,-4601.6,-9418.5,-4717.2,-7697.3,-6387.1,-7308.5,13815.1,3488.5,12069.2,18915.5,0,10361.9,0,-3451.2,-1025.9,2505.1,1039.2,-731.8,4219.6,-556.8,4438.2,0,5612.9,3875,5012.6,9500,9557.5,576.1,-54,941.4,1641.4,3261.5,505.3,-46.8,-1127.9,-1022.8,-1022.8,-344.3,6063.6,14242.6,7299.8,-27.8,-381.8,616.1,152.1,-114.9,963.3,-1084.2,-1100,-5280,-3610,-70,-6273,-3038,-2587,-4211.3,-184.4,3017.2,5080.6,4103.1,13883.4,3757.4,-1369.7,-3163.8,-2902,-2705.4,-3955.8,-3830.4,-4684.1
Revenue,Revenue Deficit as a % of GSDP,,-2.1,-1.3,-1.8,-1.3,-1,-1.4,-1,-1.7,-2.2,0.2,-1.9,-2.7,1.2,-2.6,-0.7,-1.1,-0.7,-1.2,-3,-3.3,-3.1,-1.6,-1.3,-0.4,0.4,-1.2,-1.1,-1.8,-0.4,-0.1,0,-0.1,0,0,-0.1,2.7,0.5,1.5,2.6,1.5,2.1,1.4,2.6,0.6,1.7,2.1,1.2,1.8,1.6,-2.3,-0.7,-0.8,-1.2,-1.4,-1.1,-1.5,-0.8,-0.6,-1.2,-0.6,-0.9,-0.7,-0.7,2.2,0.5,1.6,2.5,0,1.2,0,-0.7,-0.2,0.5,0.2,-0.1,0.7,-0.1,1.3,0,1.4,1,1.1,2.1,1.8,0.8,-0.1,1.1,1.9,3.3,0.5,0,-0.3,-0.2,-0.2,-0.1,1.2,2.7,1.2,-0.3,-4.2,6.7,1.7,-1.1,9.2,-9.2,-1.5,-6,-4.1,-0.1,-6.2,-3,-2.2,-0.3,0,0.2,0.3,0.2,0.8,0.2,-0.8,-1.8,-1.7,-1.6,-2,-1.9,-2.1
Revenue,Own Tax Revenue (OTR)/ State Tax Revenue,,30581.7,33381.7,33928.7,33552.2,38989.9,39189.9,43447.7,16253.1,20962.7,21154.7,19960.7,25663,25663,30875,58098.4,72193,691000,,81000,,,13034.2,15300.3,15625,14342.7,17926.3,18126.8,20085.9,53753.6,62464,61530.4,62603.5,69869.8,68554.1,76445.4,30076.6,38771.1,35543,31995,42467.5,38284.7,45428,22587.6,28524,26403.6,24079.2,28480,28560.6,29351.9,15034.2,17605,17105,16891.7,19862.7,19273.7,21280.4,53879.6,60207.8,60207.8,56372.4,63067.5,62067,68416.5,32808.5,39783.6,39100,35830.6,45414,40062.2,46496.8,30502.7,34053.1,34452.4,33477.7,40645,39786.9,47096,23559,,26589.1,25566.6,30374.8,29602.8,33249.4,4626.2,5373,4847,5120.9,5338.3,5698.5,6340.8,59875.1,72442.9,72442.9,64123.5,37397.7,38475.1,44423.4,223.1,222.3,234.8,229.8,270.4,266.5,326.6,5833,6700,6820,6273,7496,6438,8006,103448.4,107285.4,110374.4,108640.6,118640.4,119007.9,130634.7,8180.2,10152.4,10152.4,9379.8,11812.7,13314,14700.8
